analysis_tier,dataset,model,corruption_scope,severity,method,metric,signal_label,n_replicates,mean,std,clean_mean,frozen_cutoff,normalized_mean,normalized_std,crossing_severity
secondary/exploratory,smids,xception,defocus_blur,5,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.5198167363802592,0.17851191318649506,0.28184684614340466,0.5636936922868093,0.8443234100117429,0.6333649484786769,
secondary/exploratory,smids,xception,defocus_blur,0,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.052777777777777764,0.01683938285136407,0.052777777777777764,0.10555555555555553,0.0,0.3190619908679509,5.0
secondary/exploratory,smids,xception,defocus_blur,1,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.054166666666666634,0.016666666666666653,0.052777777777777764,0.10555555555555553,0.026315789473683862,0.31578947368421034,5.0
secondary/exploratory,smids,xception,defocus_blur,2,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.04861111111111107,0.012028130608117242,0.052777777777777764,0.10555555555555553,-0.07894736842105315,0.22790142204853728,5.0
secondary/exploratory,smids,xception,defocus_blur,3,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.06666666666666667,0.007216878364870318,0.052777777777777764,0.10555555555555553,0.2631578947368424,0.13674085322912186,5.0
secondary/exploratory,smids,xception,defocus_blur,4,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.07777777777777774,0.006364688465216434,0.052777777777777764,0.10555555555555553,0.47368421052631543,0.12059409723567983,5.0
secondary/exploratory,smids,xception,defocus_blur,5,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.12916666666666662,0.027322660517924965,0.052777777777777764,0.10555555555555553,1.4473684210526316,0.5176925150764732,5.0
secondary/exploratory,hushem,resnet50,motion_blur,0,aps,conformal_coverage,APS coverage,5,0.9582452431289639,0.03827820942600411,0.9582452431289639,0.85,-0.0,0.35362486442382757,
secondary/exploratory,hushem,resnet50,motion_blur,1,aps,conformal_coverage,APS coverage,5,0.9860465116279069,0.012737733895469009,0.9582452431289639,0.85,-0.25683593750000155,0.117674768214001,
secondary/exploratory,hushem,resnet50,motion_blur,2,aps,conformal_coverage,APS coverage,5,0.9720930232558139,0.019457209919397145,0.9582452431289639,0.85,-0.12792968750000175,0.17975117757568093,
secondary/exploratory,hushem,resnet50,motion_blur,3,aps,conformal_coverage,APS coverage,5,0.9582452431289641,0.019584574327324432,0.9582452431289639,0.85,-2.0513105103425775e-15,0.18092780579735296,
secondary/exploratory,hushem,resnet50,motion_blur,4,aps,conformal_coverage,APS coverage,5,0.9304439746300212,0.04945971201859709,0.9582452431289639,0.85,0.2568359374999985,0.4569227301718059,
secondary/exploratory,hushem,resnet50,motion_blur,5,aps,conformal_coverage,APS coverage,5,0.8984143763213531,0.06618003127502652,0.9582452431289639,0.85,0.5527343749999986,0.6113897420524921,
secondary/exploratory,hushem,resnet50,motion_blur,0,raw_softmax,accuracy,Accuracy,5,0.8654334038054967,0.07816300968507428,0.8654334038054967,0.8154334038054967,-0.0,1.5632601937014843,2.0
secondary/exploratory,hushem,resnet50,motion_blur,1,raw_softmax,accuracy,Accuracy,5,0.8328752642706132,0.05621999383673631,0.8654334038054967,0.8154334038054967,0.6511627906976697,1.1243998767347252,2.0
secondary/exploratory,hushem,resnet50,motion_blur,2,raw_softmax,accuracy,Accuracy,5,0.7684989429175475,0.02858035060168239,0.8654334038054967,0.8154334038054967,1.9386892177589825,0.5716070120336473,2.0
