analysis_tier,dataset,model,corruption_scope,severity,coverage,mean_risk,std_risk,n_replicates,mean_aurc,std_aurc,mean_risk_at_80,std_risk_at_80
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.08,0.0,0.0,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.09,0.0,0.0,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.1,0.0017142857142857161,0.0038332593899996436,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.11,0.0041714285714285725,0.009327597848999124,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.12,0.005561904761904763,0.012436797131998831,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.13,0.005152380952380952,0.011521074055498915,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.14,0.00474829931972789,0.010617520056427571,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.15,0.00445578231292517,0.00996343214464192,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.16,0.004163265306122449,0.009309344232856266,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.17,0.00945918367346939,0.011087572284447523,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.18,0.01691836734693877,0.018180404949146536,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.19,0.02372222222222222,0.02497276877338836,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.2,0.029523809523809525,0.0296712906279512,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.21,0.03498730158730158,0.03448689944468968,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.22,0.035942857142857144,0.03563442499743695,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.23,0.0368984126984127,0.03690805173935302,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.24,0.03689350649350649,0.037545082138427194,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.25,0.036558441558441554,0.038004768855054126,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.26,0.03624675324675325,0.03849878374888437,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.27,0.03596753246753246,0.03899365187472973,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
